source_rank,journal,issn,eissn,wos_category,citation_index,total_citations,impact_factor_2025,quartile,source_year,metric_year
1,LANCET,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL",SCIE,378842,109.0,Q1,2026,2025
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL",SCIE,414591,84.5,Q1,2026,2025
3,ANNALS OF ONCOLOGY,0923-7534,1569-8041,ONCOLOGY,SCIE,68920,80.4,Q1,2026,2025
4,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL",SCIE,205027,65.4,Q1,2026,2025
5,CANCER CELL,1535-6108,1878-3686,ONCOLOGY,SCIE,64398,56.1,Q1,2026,2025
6,BMJ-British Medical Journal,0959-535X,1756-1833,"MEDICINE, GENERAL & INTERNAL",SCIE,188624,55.1,Q1,2026,2025
7,LANCET NEUROLOGY,1474-4422,1474-4465,CLINICAL NEUROLOGY,SCIE,59391,54.6,Q1,2026,2025
8,NATURE MEDICINE,1078-8956,1546-170X,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,154284,52.5,Q1,2026,2025
9,Journal of Hematology & Oncology,,1756-8722,ONCOLOGY,SCIE,32695,47.8,Q1,2026,2025
10,EUROPEAN HEART JOURNAL,0195-668X,1522-9645,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,104376,45.3,Q1,2026,2025
11,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,1527-7755,ONCOLOGY,SCIE,180692,44.7,Q1,2026,2025
12,Molecular Cancer,,1476-4598,ONCOLOGY,SCIE,53231,42.2,Q1,2026,2025
13,CIRCULATION,0009-7322,1524-4539,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,186674,41.3,Q1,2026,2025
14,JOURNAL OF HEPATOLOGY,0168-8278,1600-0641,GASTROENTEROLOGY & HEPATOLOGY,SCIE,73177,40.1,Q1,2026,2025
15,Lancet Gastroenterology & Hepatology,,2468-1253,GASTROENTEROLOGY & HEPATOLOGY,SCIE,19481,39.1,Q1,2026,2025
16,LANCET ONCOLOGY,1470-2045,1474-5488,ONCOLOGY,SCIE,77887,33.7,Q1,2026,2025
17,Gastroenterology,0016-5085,1528-0012,GASTROENTEROLOGY & HEPATOLOGY,SCIE,93386,29.7,Q1,2026,2025
18,Cancer Discovery,2159-8274,2159-8290,ONCOLOGY,SCIE,40579,29.5,Q1,2026,2025
19,EUROPEAN UROLOGY,0302-2838,1873-7560,UROLOGY & NEPHROLOGY,SCIE,38364,29.1,Q1,2026,2025
20,Cancer Communications,,2523-3548,ONCOLOGY,SCIE,9938,28.4,Q1,2026,2025
21,Nature Cancer,,2662-1347,ONCOLOGY,SCIE,14846,28.0,Q1,2026,2025
22,JAMA Internal Medicine,2168-6106,2168-6114,"MEDICINE, GENERAL & INTERNAL",SCIE,28116,26.3,Q1,2026,2025
23,Lancet Digital Health,,2589-7500,MEDICAL INFORMATICS,SCIE,11618,25.5,Q1,2026,2025
24,Journal of the National Cancer Center,2667-0054,2667-0054,ONCOLOGY,ESCI,2638,25.2,Q1,2026,2025
25,Nature Aging,,2662-8465,NEUROSCIENCES,SCIE,10875,25.0,Q1,2026,2025
26,GUT,0017-5749,1468-3288,GASTROENTEROLOGY & HEPATOLOGY,SCIE,66773,24.6,Q1,2026,2025
